61	2018-02-03 23:40:21.7587430	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:15mL	Active    
68	2018-02-03 23:57:16.9438680	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:35mL	Active    
70	2018-02-04 01:00:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:10分钟	Active    
71	2018-02-04 03:30:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:10分钟	Active    
74	2018-02-04 10:30:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:80mL	Active    
76	2018-02-04 13:00:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:20mL	Active    
77	2018-02-04 13:25:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:70mL	Active    
78	2018-02-04 13:00:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	一点大便一次	Active    
82	2018-02-04 17:00:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:120mL	Active    
83	2018-02-04 18:57:35.9406450	Notes     	ocgSc0eChTDEABMBHJ_urv4lMeCE	今天立春啦！立冬次日出生的小萝卜，健健康康走过了人生的第一个季节！	Active    
84	2018-02-04 19:15:23.0606590	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	母乳:6分钟	Active    
85	2018-02-04 19:15:35.6610230	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:20mL	Active    
87	2018-02-04 19:45:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:20mL	Active    
90	2018-02-04 22:46:38.1827660	WakeUp    	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	从22:25到22:46，睡了0.35小时	Deleted   
91	2018-02-05 03:24:03.9418320	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:120mL	Active    
94	2018-02-05 07:31:50.8144750	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从04:37到07:31，睡了2.90小时	Active    
95	2018-02-05 07:52:59.0190350	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:17分钟	Active    
96	2018-02-05 10:41:04.0755260	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从08:45到10:41，睡了1.93小时	Active    
97	2018-02-05 10:53:20.4938760	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	大便了	Active    
99	2018-02-05 12:00:00.0000000	Bath      	ocgSc0eChTDEABMBHJ_urv4lMeCE	12点洗澡了	Active    
100	2018-02-05 11:50:00.0000000	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	11:50拉屎了	Active    
101	2018-02-05 10:30:00.0000000	AD        	ocgSc0eChTDEABMBHJ_urv4lMeCE	十点半AD	Active    
102	2018-02-05 15:00:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从12:25到15:00，睡了2.58小时	Active    
103	2018-02-05 03:50:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:90mL	Deleted   
104	2018-02-05 15:48:15.9932000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:90mL	Active    
106	2018-02-05 17:43:51.9842290	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	拉屎了	Active    
109	2018-02-05 20:09:03.6464560	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:105mL	Active    
113	2018-02-05 21:03:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从20:30到21:03，睡了0小时33分钟	Active    
114	2018-02-05 22:12:48.2288800	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	母乳:8分钟	Active    
119	2018-02-06 06:41:21.5837710	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:13分钟	Active    
122	2018-02-06 09:08:08.2460100	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:50mL	Active    
123	2018-02-06 09:22:00.9927780	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	拉屎了	Active    
124	2018-02-06 10:12:03.9848160	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:70mL	Active    
129	2018-02-06 14:11:46.7214130	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
130	2018-02-06 14:12:03.2196690	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	拉屎了	Active    
133	2018-02-06 19:07:38.0918510	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从16:52到19:07，睡了2小时15分钟	Active    
134	2018-02-06 19:41:54.7708050	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:100mL	Deleted   
140	2018-02-07 05:10:00.0000000	WakeUp    	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	从02:36到05:10，睡了2小时33分钟	Active    
146	2018-02-07 09:15:36.9755490	Poop      	ocgSc0cpvPB5V7KPdcBSdu0VQvXQ	大便一次	Active    
147	2018-02-07 09:30:17.4184880	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:15mL	Active    
148	2018-02-07 09:30:24.2662400	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	拉屎了	Deleted   
151	2018-02-07 13:40:00.0000000	Bath      	ocgSc0eChTDEABMBHJ_urv4lMeCE	1:40洗澡	Active    
153	2018-02-07 16:21:33.1153230	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从14:56到16:21，睡了1小时25分钟	Active    
157	2018-02-07 18:15:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
158	2018-02-07 18:28:31.1650550	Notes     	ocgSc0eChTDEABMBHJ_urv4lMeCE	 采用了新的体重称量方法，小萝卜看起来舒服多了。测得去皮体重5.91kg，跟上次相比增量太小，估计跟最近吃奶不好有关系。请孙北峤同学好好吃奶，快快长大。	Active    
161	2018-02-07 19:47:41.2094450	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:50mL	Active    
162	2018-02-07 22:16:08.1361300	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从20:23到22:16，睡了1小时52分钟	Active    
164	2018-02-07 22:56:10.2658230	Poop      	ocgSc0eChTDEABMBHJ_urv4lMeCE	拉屎了	Active    
69	2018-02-04 00:20:02.2071810	Feed      	ocgSc0fzGH2Os2cmFYQ58zdDPCWw	奶瓶:20mL	Active    
72	2018-02-04 04:09:55.6309310	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:15分钟	Active    
73	2018-02-04 07:00:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:5分钟	Active    
79	2018-02-04 13:31:09.1073260	AD        	ocgSc0eChTDEABMBHJ_urv4lMeCE	吃了ad	Active    
80	2018-02-04 16:35:23.7256880	Remove    	toUser	撤销	Deleted   
93	2018-02-05 03:50:00.0000000	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	奶瓶:20mL	Active    
111	2018-02-05 03:20:50.8144750	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从21:10到03:15，睡了6小时	Active    
115	2018-02-06 02:50:00.0000000	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从22:13到02:50，睡了4小时37分钟	Active    
116	2018-02-06 03:29:39.7788200	Feed      	ocgSc0eChTDEABMBHJ_urv4lMeCE	母乳:20分钟	Active    
120	2018-02-06 08:39:01.0083830	WakeUp    	ocgSc0eChTDEABMBHJ_urv4lMeCE	从07:00到08:39，睡了1小时39分钟	Deleted   
